,Team,Conference,Region,Cinderella,Conference Tournament Champion,Number of Tournament Wins,Made Tournament Previous Year,Game Count,Wins,Losses,3-Pointers Made,3-Pointers Attempted,3-Point Percentage,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Rebounds,Opponent's Rebounds,Rebound Differential,Offensive Rebounds,Assists,Turnovers,Assist to Turnover Ratio,ESPN Strength of Schedule,Quad 1 Wins,Quad 1 Losses,Total Points,Average PPG,Total Opp Points,Average Opp PPG,Total Scoring Differential,Scoring Differential Per Game
18,Creighton,BE,West,0.0,0.0,2.0,0.0,27.0,20.0,7.0,272.0,742.0,0.367000014,289.0,450.0,0.64200002,1011.0,1022.0,-11.0,237.0,445.0,311.0,1.430868149,53.0,7.0,3.0,2155.0,76.9642868,1912.0,68.2857132,243.0,8.678571701
19,UCLA,P12,East,1.0,0.0,5.0,0.0,25.0,17.0,8.0,173.0,471.0,0.367000014,349.0,484.0,0.721000016,910.0,800.0,110.0,257.0,354.0,290.0,1.220689654,63.0,2.0,6.0,1894.0,72.84615326,1781.0,68.5,113.0,4.346153736
20,Georgetown,BE,East,1.0,1.0,0.0,0.0,24.0,13.0,11.0,208.0,568.0,0.365999997,334.0,443.0,0.754000008,1005.0,877.0,128.0,292.0,321.0,383.0,0.838120103,18.0,3.0,9.0,1784.0,71.36000061,1767.0,70.68000031,17.0,0.680000007
21,Ohio St.,B10,South,0.0,0.0,0.0,1.0,29.0,21.0,8.0,247.0,677.0,0.36500001,493.0,646.0,0.763000011,1086.0,1009.0,77.0,292.0,391.0,313.0,1.249201298,6.0,9.0,7.0,2320.0,77.33333588,2129.0,70.96666718,191.0,6.366666794
22,Gonzaga,WCC,West,0.0,1.0,5.0,1.0,26.0,26.0,0.0,190.0,520.0,0.365,429.0,590.0,0.727,986.0,796.0,190.0,249.0,476.0,315.0,1.511111,86.0,8.0,0.0,2395.0,92.11539,1797.0,69.11539,598.0,23.0
23,Houston,Amer,Midwest,0.0,1.0,4.0,1.0,26.0,24.0,2.0,252.0,699.0,0.361000001,366.0,494.0,0.740999997,1110.0,864.0,246.0,387.0,381.0,293.0,1.300341249,117.0,2.0,1.0,2096.0,77.62963104,1562.0,57.85185242,534.0,19.77777863
24,Ohio,MAC,West,1.0,1.0,1.0,0.0,22.0,16.0,6.0,195.0,540.0,0.361000001,293.0,418.0,0.700999975,801.0,772.0,29.0,225.0,412.0,277.0,1.48736465,136.0,0.0,0.0,1860.0,80.86956787,1685.0,73.26087189,175.0,7.608695507
25,Wisconsin,B10,South,1.0,0.0,1.0,1.0,28.0,17.0,11.0,248.0,689.0,0.360000014,349.0,455.0,0.76700002,972.0,1020.0,-48.0,241.0,386.0,259.0,1.490347505,10.0,5.0,10.0,2019.0,69.62068939,1865.0,64.31034851,154.0,5.310344696
26,Virginia Tech,ACC,South,1.0,0.0,0.0,1.0,20.0,15.0,5.0,173.0,485.0,0.356999993,274.0,393.0,0.697000027,738.0,672.0,66.0,198.0,302.0,245.0,1.232653022,74.0,2.0,3.0,1515.0,72.14286041,1376.0,65.52381134,139.0,6.619047642
27,Texas,B12,East,0.0,1.0,0.0,0.0,25.0,19.0,6.0,225.0,631.0,0.356999993,363.0,513.0,0.708000004,1005.0,892.0,113.0,286.0,341.0,370.0,0.921621621,19.0,8.0,6.0,1956.0,75.2307663,1789.0,68.80769348,167.0,6.423077106
