,score,layer_sizes,epochs,learning_rate,weight_0,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,loss_fn
158,79.0,"[8, 7, 7]",150,0.05,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
159,146.0,"[8, 7, 7]",150,0.0001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
160,86.0,"[8, 7, 7]",200,0.001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
161,130.0,"[8, 7, 7]",200,0.002,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
162,73.0,"[8, 7, 7]",200,0.01,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
163,143.0,"[8, 7, 7]",200,0.05,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
164,93.0,"[8, 7, 7]",200,0.0001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
165,85.0,"[20, 15, 10, 7]",100,0.001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
166,98.0,"[20, 15, 10, 7]",100,0.002,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
167,90.0,"[20, 15, 10, 7]",100,0.01,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
168,98.0,"[20, 15, 10, 7]",100,0.05,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
169,146.0,"[20, 15, 10, 7]",100,0.0001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
170,98.0,"[20, 15, 10, 7]",150,0.001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
171,148.0,"[20, 15, 10, 7]",150,0.002,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
172,87.0,"[20, 15, 10, 7]",150,0.01,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
173,146.0,"[20, 15, 10, 7]",150,0.05,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
174,91.0,"[20, 15, 10, 7]",150,0.0001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
175,90.0,"[20, 15, 10, 7]",200,0.001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
176,90.0,"[20, 15, 10, 7]",200,0.002,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
177,148.0,"[20, 15, 10, 7]",200,0.01,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
178,98.0,"[20, 15, 10, 7]",200,0.05,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
179,90.0,"[20, 15, 10, 7]",200,0.0001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
180,77.0,"[20, 16, 12]",100,0.001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
181,91.0,"[20, 16, 12]",100,0.002,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
182,90.0,"[20, 16, 12]",100,0.01,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
183,90.0,"[20, 16, 12]",100,0.05,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
184,148.0,"[20, 16, 12]",100,0.0001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
185,82.0,"[20, 16, 12]",150,0.001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
186,90.0,"[20, 16, 12]",150,0.002,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
187,76.0,"[20, 16, 12]",150,0.01,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
188,64.0,"[20, 16, 12]",150,0.05,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
