,Team,Conference,Region,Cinderella,Conference Tournament Champion,Number of Tournament Wins,Made Tournament Previous Year,Game Count,Wins,Losses,3-Pointers Made,3-Pointers Attempted,3-Point Percentage,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Rebounds,Opponent's Rebounds,Rebound Differential,Offensive Rebounds,Assists,Turnovers,Assist to Turnover Ratio,ESPN Strength of Schedule,Wins Against Top 25 RPI Teams,Losses Against Top 25 RPI Teams,Total Points,Average PPG,Total Opp Points,Average Opp PPG,Total Scoring Differential,Scoring Differential Per Game,Year,Quad 1 Wins,Quad 1 Losses
383,Syracuse,ACC,West,0.0,0.0,0.0,1.0,33.0,20.0,13.0,262.0,795.0,0.329559748427673,465.0,683.0,0.680819912152269,1148.0,1224.0,-76.0,356.0,396.0,411.0,0.963503649635037,30.0,4.0,10.0,2301.0,69.7,2168.0,65.7,133.0,4.0,2019,,
384,Georgia St.,Sun Belt,Midwest,1.0,1.0,0.0,1.0,33.0,24.0,9.0,324.0,836.0,0.38755980861244,449.0,677.0,0.663220088626292,1083.0,1285.0,-202.0,268.0,410.0,384.0,1.06770833333333,141.0,0.0,2.0,2543.0,77.1,2407.0,72.9,136.0,4.1,2019,,
385,Saint Mary's (CA),WCC,South,1.0,1.0,0.0,0.0,33.0,22.0,11.0,245.0,648.0,0.378086419753086,409.0,549.0,0.744990892531876,1146.0,965.0,181.0,324.0,332.0,349.0,0.9512893982808021,75.0,1.0,5.0,2406.0,72.9,2124.0,64.4,282.0,8.5,2019,,
386,Yale,Ivy League,East,1.0,1.0,0.0,0.0,29.0,22.0,7.0,222.0,597.0,0.37185929648241206,399.0,542.0,0.7361623616236159,1120.0,983.0,137.0,251.0,495.0,383.0,1.2924281984334198,173.0,0.0,1.0,2353.0,81.1,2123.0,73.2,230.0,7.9,2019,,
387,Vermont,America East,West,1.0,1.0,0.0,0.0,33.0,27.0,6.0,257.0,729.0,0.352537722908093,500.0,665.0,0.75187969924812,1161.0,1011.0,150.0,307.0,390.0,361.0,1.0803324099723002,244.0,0.0,2.0,2439.0,73.9,2067.0,62.6,372.0,11.3,2019,,
388,Abilene Christian,Southland,Midwest,1.0,1.0,0.0,0.0,33.0,27.0,6.0,246.0,637.0,0.3861852433281,452.0,632.0,0.715189873417722,1093.0,1037.0,56.0,325.0,515.0,397.0,1.2972292191435801,353.0,0.0,1.0,2458.0,74.5,2082.0,63.1,376.0,11.4,2019,,
389,Northeastern,CAA,Midwest,1.0,1.0,0.0,0.0,33.0,23.0,10.0,322.0,830.0,0.387951807228916,461.0,614.0,0.750814332247557,1048.0,1044.0,4.0,230.0,473.0,371.0,1.27493261455526,132.0,0.0,2.0,2511.0,76.1,2319.0,70.3,192.0,5.8,2019,,
390,Ole Miss,SEC,South,0.0,0.0,0.0,0.0,32.0,20.0,12.0,261.0,729.0,0.358024691358025,458.0,585.0,0.7829059829059829,1098.0,1048.0,50.0,315.0,459.0,405.0,1.13333333333333,56.0,4.0,7.0,2413.0,75.4,2252.0,70.4,161.0,5.0,2019,,
391,Mississippi St.,SEC,East,0.0,0.0,0.0,0.0,33.0,23.0,10.0,284.0,752.0,0.377659574468085,446.0,624.0,0.7147435897435899,1181.0,1057.0,124.0,385.0,470.0,439.0,1.07061503416856,27.0,7.0,7.0,2552.0,77.3,2314.0,70.1,238.0,7.2,2019,,
392,Utah St.,MWC,Midwest,0.0,1.0,0.0,0.0,34.0,28.0,6.0,267.0,752.0,0.35505319148936204,543.0,727.0,0.746905089408528,1368.0,1066.0,302.0,368.0,585.0,426.0,1.3732394366197198,122.0,2.0,2.0,2690.0,79.1,2271.0,66.8,419.0,12.3,2019,,
393,Colgate,Patriot,South,1.0,1.0,0.0,0.0,34.0,24.0,10.0,305.0,786.0,0.38804071246819305,413.0,557.0,0.741472172351885,1209.0,1074.0,135.0,323.0,531.0,443.0,1.19864559819413,273.0,0.0,2.0,2578.0,75.8,2381.0,70.0,197.0,5.8,2019,,
394,Belmont,OVC,East,1.0,0.0,0.0,0.0,31.0,26.0,5.0,325.0,871.0,0.373134328358209,411.0,557.0,0.737881508078995,1205.0,1086.0,119.0,277.0,616.0,361.0,1.7063711911357298,177.0,1.0,2.0,2710.0,87.4,2290.0,73.9,420.0,13.5,2019,,
395,North Dakota St.,Summit League,East,1.0,1.0,0.0,0.0,33.0,18.0,15.0,315.0,861.0,0.365853658536585,445.0,575.0,0.773913043478261,1041.0,1087.0,-46.0,218.0,383.0,350.0,1.09428571428571,186.0,0.0,2.0,2416.0,73.2,2382.0,72.2,34.0,1.0,2019,,
396,Marquette,Big East,West,0.0,0.0,0.0,0.0,33.0,24.0,9.0,311.0,791.0,0.393173198482933,516.0,680.0,0.758823529411765,1256.0,1106.0,150.0,317.0,450.0,459.0,0.980392156862745,58.0,6.0,4.0,2565.0,77.7,2280.0,69.1,285.0,8.6,2019,,
397,Northern Ky.,Horizon,West,1.0,1.0,0.0,0.0,34.0,26.0,8.0,301.0,823.0,0.36573511543134896,477.0,717.0,0.665271966527197,1259.0,1110.0,149.0,361.0,581.0,424.0,1.37028301886792,305.0,0.0,2.0,2690.0,79.1,2338.0,68.8,352.0,10.4,2019,,
398,Fairleigh Dickinson,NEC,West,1.0,1.0,0.0,0.0,33.0,20.0,13.0,254.0,630.0,0.40317460317460296,483.0,660.0,0.731818181818182,1085.0,1112.0,-27.0,308.0,466.0,445.0,1.04719101123596,344.0,0.0,0.0,2489.0,75.4,2352.0,71.3,137.0,4.2,2019,,
399,Bradley,MVC,East,1.0,1.0,0.0,0.0,34.0,20.0,14.0,231.0,632.0,0.365506329113924,453.0,654.0,0.692660550458716,1169.0,1127.0,42.0,314.0,411.0,431.0,0.953596287703016,268.0,1.0,0.0,2264.0,66.6,2209.0,65.0,55.0,1.6,2019,,
400,VCU,Atlantic 10,East,0.0,0.0,0.0,0.0,32.0,25.0,7.0,229.0,745.0,0.30738255033557,455.0,652.0,0.6978527607361961,1177.0,1137.0,40.0,347.0,444.0,448.0,0.9910714285714292,99.0,1.0,1.0,2286.0,71.4,1971.0,61.6,315.0,9.8,2019,,
401,Louisville,ACC,East,0.0,0.0,0.0,0.0,33.0,20.0,13.0,285.0,834.0,0.34172661870503607,519.0,670.0,0.7746268656716421,1262.0,1141.0,121.0,338.0,442.0,409.0,1.08068459657702,6.0,5.0,11.0,2460.0,74.5,2238.0,67.8,222.0,6.7,2019,,
402,Old Dominion,C-USA,South,1.0,1.0,0.0,0.0,34.0,26.0,8.0,258.0,731.0,0.3529411764705879,382.0,579.0,0.6597582037996551,1324.0,1156.0,168.0,408.0,435.0,399.0,1.09022556390977,276.0,2.0,0.0,2250.0,66.2,2069.0,60.9,181.0,5.3,2019,,
403,Saint Louis,Atlantic 10,East,1.0,1.0,0.0,0.0,35.0,23.0,12.0,201.0,652.0,0.30828220858895694,474.0,793.0,0.597730138713745,1391.0,1163.0,228.0,483.0,454.0,445.0,1.02022471910112,95.0,0.0,3.0,2347.0,67.1,2231.0,63.7,116.0,3.3,2019,,
404,Wisconsin,Big Ten,South,0.0,0.0,0.0,0.0,33.0,23.0,10.0,235.0,642.0,0.366043613707165,336.0,518.0,0.6486486486486489,1162.0,1172.0,-10.0,269.0,421.0,315.0,1.33650793650794,2.0,11.0,8.0,2279.0,69.1,2027.0,61.4,252.0,7.6,2019,,
405,Iowa St.,Big 12,Midwest,0.0,1.0,0.0,0.0,34.0,23.0,11.0,288.0,789.0,0.36501901140684395,443.0,605.0,0.732231404958678,1196.0,1177.0,19.0,320.0,518.0,378.0,1.3703703703703702,28.0,10.0,9.0,2633.0,77.4,2323.0,68.3,310.0,9.1,2019,,
406,Temple,AAC,East,1.0,0.0,0.0,0.0,32.0,23.0,9.0,240.0,726.0,0.330578512396694,465.0,636.0,0.731132075471698,1097.0,1189.0,-92.0,311.0,463.0,357.0,1.296918767507,78.0,2.0,5.0,2395.0,74.8,2277.0,71.2,118.0,3.7,2019,,
407,Gardner-Webb,Big South,South,1.0,1.0,0.0,0.0,34.0,23.0,11.0,272.0,696.0,0.390804597701149,524.0,737.0,0.7109905020352779,1169.0,1194.0,-25.0,269.0,492.0,391.0,1.25831202046036,247.0,0.0,2.0,2662.0,78.3,2397.0,70.5,265.0,7.8,2019,,
408,Prairie View,SWAC,West,1.0,1.0,0.0,0.0,34.0,22.0,12.0,210.0,675.0,0.311111111111111,591.0,868.0,0.680875576036866,1125.0,1276.0,-151.0,383.0,428.0,433.0,0.988452655889146,297.0,0.0,2.0,2551.0,75.0,2465.0,72.5,86.0,2.5,2019,,
409,St. John's (NY),Big East,West,1.0,0.0,0.0,0.0,33.0,21.0,12.0,281.0,778.0,0.36118251928020595,433.0,597.0,0.7252931323283079,1074.0,1276.0,-202.0,252.0,463.0,342.0,1.3538011695906398,63.0,6.0,3.0,2558.0,77.5,2468.0,74.8,90.0,2.7,2019,,
410,Baylor,B12,South,0.0,0.0,6.0,1.0,23.0,22.0,1.0,248.0,593.0,0.41800001299999995,285.0,409.0,0.6970000270000001,875.0,769.0,106.0,309.0,409.0,298.0,1.3724832530000002,68.0,,,2025.0,84.375,1594.0,66.41666412,431.0,17.95833397,2021,8.0,2.0
411,Colgate,Pat,South,1.0,1.0,0.0,1.0,14.0,14.0,0.0,136.0,338.0,0.40200001,215.0,294.0,0.7310000059999999,596.0,523.0,73.0,144.0,262.0,151.0,1.735099316,332.0,,,1295.0,86.33333588,1029.0,68.59999847,266.0,17.73333359,2021,0.0,0.0
