,score,layer_sizes,epochs,learning_rate,weight_0,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,loss_fn
83,176.0,"[16, 16, 32]",150,0.05,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
84,140.0,"[16, 16, 32]",150,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
85,158.0,"[16, 16, 32]",200,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
86,135.0,"[16, 16, 32]",200,0.002,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
87,154.0,"[16, 16, 32]",200,0.01,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
88,166.0,"[16, 16, 32]",200,0.05,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
89,98.0,"[16, 16, 32]",200,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
90,109.0,"[16, 8, 16]",100,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
91,166.0,"[16, 8, 16]",100,0.002,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
92,102.0,"[16, 8, 16]",100,0.01,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
93,165.0,"[16, 8, 16]",100,0.05,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
94,160.0,"[16, 8, 16]",100,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
95,133.0,"[16, 8, 16]",150,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
96,162.0,"[16, 8, 16]",150,0.002,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
97,149.0,"[16, 8, 16]",150,0.01,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
98,138.0,"[16, 8, 16]",150,0.05,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
99,149.0,"[16, 8, 16]",150,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
100,140.0,"[16, 8, 16]",200,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
101,163.0,"[16, 8, 16]",200,0.002,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
102,149.0,"[16, 8, 16]",200,0.01,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
103,171.0,"[16, 8, 16]",200,0.05,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
104,82.0,"[16, 8, 16]",200,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
105,142.0,"[32, 32, 8]",100,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
106,48.0,"[32, 32, 8]",100,0.002,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
107,154.0,"[32, 32, 8]",100,0.01,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
108,183.0,"[32, 32, 8]",100,0.05,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
109,141.0,"[32, 32, 8]",100,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
110,153.0,"[32, 32, 8]",150,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
111,141.0,"[32, 32, 8]",150,0.002,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
112,176.0,"[32, 32, 8]",150,0.01,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
113,162.0,"[32, 32, 8]",150,0.05,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
114,156.0,"[32, 32, 8]",150,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
115,141.0,"[32, 32, 8]",200,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
116,97.0,"[32, 32, 8]",200,0.002,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
117,144.0,"[32, 32, 8]",200,0.01,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
118,119.0,"[32, 32, 8]",200,0.05,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
119,110.0,"[32, 32, 8]",200,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
120,144.0,"[32, 16, 8]",100,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
121,185.0,"[32, 16, 8]",100,0.002,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
122,159.0,"[32, 16, 8]",100,0.01,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
123,162.0,"[32, 16, 8]",100,0.05,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
124,133.0,"[32, 16, 8]",100,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
125,166.0,"[32, 16, 8]",150,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
126,147.0,"[32, 16, 8]",150,0.002,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
127,157.0,"[32, 16, 8]",150,0.01,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
128,175.0,"[32, 16, 8]",150,0.05,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
129,100.0,"[32, 16, 8]",150,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
130,194.0,"[32, 16, 8]",200,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
131,116.0,"[32, 16, 8]",200,0.002,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
132,168.0,"[32, 16, 8]",200,0.01,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
133,148.0,"[32, 16, 8]",200,0.05,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
134,136.0,"[32, 16, 8]",200,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
135,101.0,"[7, 7, 7, 7]",100,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
136,169.0,"[7, 7, 7, 7]",100,0.002,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
137,147.0,"[7, 7, 7, 7]",100,0.01,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
138,136.0,"[7, 7, 7, 7]",100,0.05,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
139,141.0,"[7, 7, 7, 7]",100,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
140,164.0,"[7, 7, 7, 7]",150,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
141,140.0,"[7, 7, 7, 7]",150,0.002,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
142,147.0,"[7, 7, 7, 7]",150,0.01,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
143,164.0,"[7, 7, 7, 7]",150,0.05,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
144,131.0,"[7, 7, 7, 7]",150,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
145,143.0,"[7, 7, 7, 7]",200,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
146,122.0,"[7, 7, 7, 7]",200,0.002,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
