,Cinderella,Number of Tournament Wins,Game Count,Wins,Losses,3-Pointers Made,3-Pointers Attempted,3-Point Percentage,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Rebounds,Opponent's Rebounds,Rebound Differential,Offensive Rebounds,Assists,Turnovers,Assist to Turnover Ratio,ESPN Strength of Schedule,Total Points,Average PPG,Total Opp Points,Average Opp PPG,Total Scoring Differential,Scoring Differential Per Game,optimalrank,Region_East,Region_Midwest,Region_South,Region_West,Wins vs Top Teams,Losses vs Top Teams
367,0.0,4.0,0.6746775986052851,2.6883857590651816,-2.55117746495627,-1.0708168033778427,-1.084498983904568,-0.4508488874775052,1.349666005041859,1.2188419938123114,0.24641767032164263,0.9741432428601806,-0.171168428747503,1.432223115982133,1.387427410595637,0.5502808117029384,-0.36058371889498597,0.7759737350107645,-0.6073076509677975,0.48924132078203875,-0.09989978984997035,-1.1713897286480714,-2.610815897671742,3.0977189904993323,2.8608888960493695,7,0,1,0,0,1.3457307676850923,-1.2462755006417563
23,0.0,4.0,-1.7455542372920967,0.1970162498888401,-1.9554457462219772,0.2815227583153938,0.35321942238760795,-0.004801782292147673,-1.257236445709243,-1.3856627815448674,0.7585391966009406,-0.38646864691720617,-1.5938939661071343,1.368111453515228,0.6250891539082979,-1.0554788523450032,-1.6327440574342913,0.3729738410935341,0.09807185413522701,-1.0834774387472084,0.4396741811379515,-2.212261673806978,-1.8450216356925986,1.8656343108418676,2.6066260176161022,7,0,1,0,0,-0.39764455282427935,-0.81194999695053
157,0.0,4.0,0.6746775986052851,0.9444271026417426,-0.4661164493862455,2.1586508066358565,1.689451823529748,1.6383755619650486,-1.1212241439309247,-1.023707435120607,-0.3718041741328915,0.2431762169691377,1.0078858839814733,-0.8666379239026044,-0.2838526136804525,1.6027955494822617,0.31291293091994027,1.1326223666522006,-1.0187790289445617,1.2703699286191814,1.2047410778477678,1.0209229763569516,0.7491059311732805,0.6681587513995002,0.5272070415836551,7,0,1,0,0,0.6259008723806072,-0.8426633716819458
150,0.0,3.0,0.37214861911811237,0.6952901517241085,-0.4661164493862455,0.7255745546922775,0.5731057668793526,0.6644942468657721,0.3182393832229447,0.3375594112141118,-0.14367068200731448,1.5820762148883747,0.10394424422259148,1.8810047532504681,1.504710219316766,1.6027955494822617,0.6683694961000403,0.7995657915753562,-0.8816219029523069,1.3540622794588753,1.8372942258224298,0.5900858708516166,0.4906504058775074,1.616448645293167,1.5467767838259576,6,0,1,0,0,0.2659859247283647,-0.03543911376232485
316,0.0,3.0,0.6746775986052851,1.1935640535593768,-0.7639823087533919,-0.08179234781114733,0.10796157660835441,-0.4691403382736177,1.1683162693374345,1.1244188599625042,-0.002178168597329018,0.47476973012273543,0.4104983655321253,0.12251343987250174,0.8010133669899916,0.06450477888171238,0.23807996982939292,-0.19645617976496624,-1.028575966515437,0.9530364316853421,0.6710243592441467,0.7921599114868622,0.3912444346099032,0.4535822060658968,0.32462586404008725,6,0,0,0,1,0.9858158200328497,-0.8426633716819458
158,1.0,3.0,0.37214861911811237,-0.3012576519464283,0.7253469880823399,-0.18271321062407544,0.07413290822500909,-0.6829971134818993,-0.29381597477948795,-0.49651160445918413,0.8136325653227774,-1.117435672808249,0.37119655510782607,-1.846630478753867,-1.090171923638215,0.1859487870870189,-0.04254363426015969,0.13345264142166885,-0.1762423978492825,-0.06522050353093305,-0.5940819367051746,0.3727609592250317,0.15267010356765545,-0.8061897697636459,-0.8548763867892437,5,0,0,1,0,-0.09392902292387785,1.1753972731171065
5,0.0,3.0,-2.350612196266442,-0.7995315537816966,-1.3597140274876847,-1.1515534936281853,-1.6003861767505843,1.022997029075764,-1.8806261621932021,-2.1253106633683565,1.7786053226589917,-1.9135383742737413,-2.4821148816962966,0.4705481789785576,-1.8378498292354128,-1.1904166392397884,-2.137866544795486,0.8221042058059135,-0.8522310902396809,-2.011067660553815,0.16695856945183885,-2.185572649572134,-0.3493300513337468,-0.024023652902446343,0.5895140813873514,6,1,0,0,0,1.5337718466079344,-0.20521813109738668
75,0.0,3.0,0.6746775986052851,1.442701004477011,-1.0618481681205383,0.18060189550246572,1.3596223067921311,-2.3388543373721604,0.4655860434827896,0.636566001738501,-0.6544726354203572,1.857093511758272,1.1415120394240905,1.020076714409172,1.6219930280378951,1.103525737971557,1.2296167042791455,-0.04257021215835502,-1.0089820913736864,1.5074982559983139,1.6000867953319313,0.5900858708516166,0.09302652080709067,1.9210089031860234,1.728033626891256,6,1,0,0,0,4.225050348903032,0.771785144157296
74,0.0,3.0,0.37214861911811237,1.6918379553946452,-1.6575798868548308,0.3824436211283219,0.39550525786678964,0.15556714223779008,0.8396198733731651,0.37690238365153145,1.486631288418484,0.8076854052810322,0.025340623373993055,0.9926002876376414,-0.4304561245818639,1.9131524593402671,-0.716040284075086,2.5472085217822653,-0.25461789841628524,1.8318061155021277,2.647752946664964,0.01817820867639324,-0.40400333553093026,3.6030121456397532,3.5179449521610757,6,0,0,0,1,0.6259008723806072,-0.03543911376232485
318,0.0,3.0,0.06961963963093966,-0.5503946028640624,0.7253469880823399,-0.061608175248561714,-0.17112493755424446,0.3081549228385065,-0.3051503332610145,-0.4571686320217645,0.6012317972661586,-0.06802756633100927,0.11966496839231115,-0.2255212992335541,0.06799581248293475,-0.3807899178710782,-1.295995732526828,0.7798302388950813,-0.7934494648144289,0.056830841443620495,0.05823849714369446,0.44520259643389337,0.6894623484127158,-0.6954405850753345,-0.7132694781444795,6,1,0,0,0,0.6259008723806072,0.771785144157296
